Dataset,Model,Accuracy,Precision,Recall,F1-Score
yamnet_extracted_features,MLPClassifier,0.6545031055900621,0.653019703120696,0.6545031055900621,0.6532376295694218
yamnet_balanced,MLPClassifier,0.6973314606741573,0.6964848270837355,0.6973314606741573,0.6962629015647107
yamnet_balanced,RandomForestClassifier,0.6418539325842697,0.6363619591057623,0.6418539325842697,0.6339001534413415
yamnet_extracted_features,SVC,0.6801242236024845,0.6793515351194679,0.6801242236024845,0.6788958183450008
librosa_extracted_features,SVC,0.6793478260869565,0.6788161086143321,0.6793478260869565,0.6778303943953512
librosa_balanced,KNeighborsClassifier,0.6418539325842697,0.6336833692256509,0.6418539325842697,0.6329263177580814
yamnet_balanced,SVC,0.7212078651685393,0.7190188173301088,0.7212078651685393,0.7192341581705877
yamnet_balanced,KNeighborsClassifier,0.6137640449438202,0.608647606660941,0.6137640449438202,0.6029960172985197
librosa_balanced,RandomForestClassifier,0.711376404494382,0.7113880067358879,0.711376404494382,0.7043159797773508
yamnet_extracted_features,KNeighborsClassifier,0.5978260869565217,0.6002723748114178,0.5978260869565217,0.5965969132154595
librosa_balanced,SVC,0.7127808988764045,0.7100340334186742,0.7127808988764045,0.7080457439627867
librosa_balanced,MLPClassifier,0.6860955056179775,0.6837289263239759,0.6860955056179775,0.6838013363726791
yamnet_extracted_features,RandomForestClassifier,0.6149068322981367,0.6162104596614774,0.6149068322981367,0.6112211967925143
librosa_extracted_features,KNeighborsClassifier,0.6001552795031055,0.5985241981451204,0.6001552795031055,0.596405672584441
librosa_extracted_features,RandomForestClassifier,0.6785714285714286,0.6804734387924928,0.6785714285714286,0.675125565689839
librosa_extracted_features,MLPClassifier,0.6413043478260869,0.6413216444348205,0.6413043478260869,0.6404986584816444
