MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Delta_MFCC_1,Delta_MFCC_2,Delta_MFCC_3,Delta_MFCC_4,Delta_MFCC_5,Delta_MFCC_6,Delta_MFCC_7,Delta_MFCC_8,Delta_MFCC_9,Delta_MFCC_10,Delta_MFCC_11,Delta_MFCC_12,Delta_MFCC_13,Delta2_MFCC_1,Delta2_MFCC_2,Delta2_MFCC_3,Delta2_MFCC_4,Delta2_MFCC_5,Delta2_MFCC_6,Delta2_MFCC_7,Delta2_MFCC_8,Delta2_MFCC_9,Delta2_MFCC_10,Delta2_MFCC_11,Delta2_MFCC_12,Delta2_MFCC_13,Energy,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Zero_Crossing_Rate,Label
-283.5785,28.941612,-27.409863,17.0393,-26.898657,-2.897209,-22.016531,2.524107,-3.8860822,-10.753309,10.02759,-14.35902,5.163502,2.0075088,2.168893,-0.83537006,0.4874735,-0.1114739,-0.49718246,-0.742952,0.38290304,-0.16182052,-0.80119336,-0.016265312,-0.4477564,-0.11548841,-0.21720672,-0.09610085,0.2859432,0.10677674,-0.07953887,-0.024074618,0.047751095,0.05916041,-0.050674066,0.017325047,-0.043415062,0.060183663,-0.04408878,0.078673415,2242.5070288880647,1649.969522948448,4086.658653846154,0.1724834735576923,3
-423.3975,97.697685,6.9686894,-19.583158,1.6603838,-7.3768215,-2.9261305,-10.8076935,-13.256881,-7.103599,-14.9336,-2.779245,-5.2558384,2.5176373,3.3403258,-2.4995644,-0.53512615,0.6136076,-0.2766964,0.15453108,-0.023252118,-0.38833103,-0.124030635,-0.4613206,-0.50871515,-0.6225939,-1.1240188,1.0955375,0.02271904,0.35582402,-0.14702529,-0.44275284,-0.21356864,0.13741691,0.48148543,0.23715153,0.15196432,-0.07586104,0.1672498,0.020198992,1554.908287056903,1428.063493159906,2378.7006578947367,0.12521415844298245,3
-409.0655,111.143005,44.498707,21.800482,12.735889,11.356312,4.8473964,-7.5722613,-1.0601876,4.025385,0.057543945,-3.8470826,-4.042464,0.3886014,0.087023996,-0.03553092,-0.0068648574,-0.0025176476,0.09902184,0.119327165,0.0017328053,-0.041380413,-0.04672984,-0.08458905,0.0057301302,-0.0027560373,-0.2971963,0.018675454,-0.047757074,0.07246721,0.021307014,-0.013751703,-0.032235514,-0.017242348,0.024227569,0.018986093,0.028535008,-0.0052382215,-7.989794e-05,0.010021886,1204.2703385658433,1848.8556340197738,2772.34100877193,0.05377090186403509,3
-393.79266,86.031944,32.337864,17.199017,17.13493,6.7018604,-0.64727527,-0.18777743,5.9743977,-0.089492664,-6.9390473,-6.4669685,-2.0087702,-0.8120289,0.5323246,-0.05579532,-0.12655006,-0.051954858,0.085050136,-0.00787485,-0.06601027,0.05190577,0.0698969,0.047481995,-0.03970316,-0.18676926,-1.1823344,0.45436034,-0.11107394,0.110144325,-0.06589126,0.017054088,0.04040517,-0.041385833,0.053395003,-0.025190793,0.0037730013,-0.059341513,-0.01695852,0.012853545,1769.2152274510408,2057.4058218133123,3881.0009057971015,0.09261067708333333,3
-384.96265,114.04603,35.75453,18.672298,7.213933,2.7166867,-5.2988,-6.8767586,2.7765222,2.8832536,-1.490145,-1.5534145,-4.6318088,0.5320273,-0.017326342,-0.1446771,0.10891365,-0.1277824,-0.20349003,-0.17302181,-0.055043805,-0.05668254,-0.11003882,-0.09817182,0.110886365,0.071523525,-0.13367975,0.025085693,-0.117635876,0.18171792,-0.063505486,-0.1178895,-0.059093997,0.015942922,0.0036105663,-0.11785702,0.104317196,0.089607686,-0.13642353,0.010788092,1278.3560457750555,1828.4469076815365,2946.25,0.059658203125,3
-261.7799,24.22808,-20.366701,7.0340233,-27.850355,14.937309,-25.399967,4.90385,-11.805164,0.97754,7.2913914,-6.9270473,1.6314136,0.9778747,3.006966,-0.5123142,0.30982396,-0.5911613,0.053808335,-0.14563078,-0.49699622,-0.23631346,-0.4687169,-0.19630069,-0.29088086,-0.103797786,0.021678554,0.0915584,0.18139097,0.39521796,0.3241044,-0.1923312,-0.15409112,0.19072339,-0.18934026,-0.14070152,-0.18826331,-0.15952179,-0.12173032,0.08365903,2426.017918078464,1710.4002650787388,4456.9672131147545,0.203125,3
-377.00314,104.639824,36.632816,24.39872,11.4458685,3.0720956,4.349643,-4.598647,0.6850194,-0.35266346,-5.2762437,-4.6671305,-2.5180151,0.07443574,0.157757,-0.15028808,0.10251484,0.01612816,-0.16476837,0.02318774,-0.08310009,-0.20311247,0.12887819,0.15887764,0.03779103,0.10826845,-0.36080128,0.057382584,-0.06547556,0.010817337,0.028872367,-0.051957402,-0.0069485237,0.011202242,-0.041912477,0.05181625,0.03689288,-0.048240688,-0.024790764,0.011753211,1413.2343134330222,1898.9358864566807,3130.3385416666665,0.076318359375,3
-334.37357,8.723108,-1.9183995,32.528,-16.193954,-3.0643675,-21.22774,-1.3089039,-11.9259405,-10.754981,6.1454997,-7.005085,0.98470336,-0.970856,1.2504076,-0.3611469,0.65278924,-0.026549151,-0.06532549,-0.3002079,-0.16662695,-0.1570606,-0.25202376,-0.2820754,-0.37054023,-0.10880277,0.47540256,0.33093265,-0.07748971,0.28290603,-0.032684546,0.016945366,-0.031868316,0.013680357,-0.098368704,-0.070543334,-0.093330674,-0.02445128,-0.19919376,0.057633083,2545.3279899915515,1663.391439451874,4301.613729508197,0.2255379098360656,3
-349.38162,122.29979,33.65406,21.047348,2.5806637,-3.8413606,-4.4475636,-4.287068,-5.192531,-2.9689589,1.1615533,-0.12848888,-2.4373584,0.03600042,-0.0645936,0.18316476,-0.18550926,-0.04613439,-0.114790626,-0.099090084,0.100455955,-0.08833519,-0.041968435,-0.033359736,-0.114698485,-0.087799564,-1.036585,0.009418585,0.41669223,-0.06621665,0.1407166,0.10705698,0.22276862,0.19319382,0.038284734,0.12574431,0.057314474,-0.03354837,-0.055646054,0.025283407,1187.1509086193018,1680.4688330214124,2617.876838235294,0.061020795036764705,3
-376.00714,100.496994,35.571384,20.527178,7.5929637,5.6092563,-2.1089673,-4.288066,-1.2608653,1.3453056,1.9154112,-3.0594435,0.5661055,0.24629402,0.07041037,-0.100947954,-0.020072157,-0.060470555,0.0012681657,-0.08545122,0.023566412,0.00934638,-0.045892965,-0.0034086048,0.11022582,-0.004305097,-0.08344564,0.0742858,-0.015574481,-0.051176414,-0.0035001582,-0.0552756,0.0026165233,-0.029767696,-0.04900505,-0.028965017,0.020284688,0.025820058,0.050212394,0.011132217,1486.7194275076497,1964.368471014536,3604.0534420289855,0.07770748414855072,3
